Component,Target,rho,p,n
Quality & Reliability,cites,0.22231315333796686,8.124446608073729e-24,2000
Quality & Reliability,TNCSI,0.191445895421034,5.802815715661277e-18,2000
Quality & Reliability,TNCSI_SP,0.2155300077872926,1.8897740648904226e-22,2000
Quality & Reliability,Ref_num,0.10594905129473775,2.0483584983720564e-06,2000
Quality & Reliability,RQM,0.05047876342647947,0.023976423797297048,2000
Quality & Reliability,SMP,-0.04820933450226963,0.03109204822002462,2000
Quality & Reliability,ARQ,0.04541860974090826,0.042259033278870956,2000
Quality & Reliability,OA,0.14683200824730813,4.161422930158525e-11,2000
Quality & Reliability,is_practical,0.12563907147374814,1.724473047189983e-08,2000
Quality & Reliability,new_task,0.08860200368089537,7.256045346051177e-05,2000
Quality & Reliability,new_dataset,0.12955568176161888,6.07044427189468e-09,2000
Quality & Reliability,SOTA,0.22154330223797786,1.1673540346648225e-23,2000
Quality & Reliability,is_broad,-0.019402642417732107,0.3858041114862264,2000
Accessibility & Understandability,cites,0.03721992639773773,0.09610010873981283,2000
Accessibility & Understandability,TNCSI,0.05711780064127435,0.010622605803278866,2000
Accessibility & Understandability,TNCSI_SP,0.042163577141091015,0.05939312306756225,2000
Accessibility & Understandability,Ref_num,-0.14436942536801806,8.793032954173112e-11,2000
Accessibility & Understandability,RQM,0.04822463336041105,0.031038590894994455,2000
Accessibility & Understandability,SMP,-0.08249140528678128,0.00022152207108202965,2000
Accessibility & Understandability,ARQ,0.010600143431836287,0.6356640960350952,2000
Accessibility & Understandability,OA,0.021076806950769272,0.3461420469595591,2000
Accessibility & Understandability,is_practical,0.2197593719786722,2.6895747363526295e-23,2000
Accessibility & Understandability,new_task,0.06889726195923446,0.002049825336602641,2000
Accessibility & Understandability,new_dataset,0.22239295963986863,7.82424056735979e-24,2000
Accessibility & Understandability,SOTA,-0.15961889045009708,6.971610757664314e-13,2000
Accessibility & Understandability,is_broad,0.07438774584113216,0.0008707875873558756,2000
Novelty & Engagement,cites,0.26652386848682397,7.151913128272181e-34,2000
Novelty & Engagement,TNCSI,0.18672633727744783,3.7780546480415566e-17,2000
Novelty & Engagement,TNCSI_SP,0.1958008563675848,9.861235849440488e-19,2000
Novelty & Engagement,Ref_num,0.312312410699417,1.6904667015778925e-46,2000
Novelty & Engagement,RQM,0.09666987327622194,1.48669107460571e-05,2000
Novelty & Engagement,SMP,-0.10382373564500154,3.2743464471721452e-06,2000
Novelty & Engagement,ARQ,0.060566098073222815,0.006740657776373433,2000
Novelty & Engagement,OA,0.06487878191138664,0.0036994685663408913,2000
Novelty & Engagement,is_practical,-0.1980080085323974,3.952398392817014e-19,2000
Novelty & Engagement,new_task,0.08522404795718207,0.00013568943495391724,2000
Novelty & Engagement,new_dataset,-0.014348101247389024,0.52132879813987,2000
Novelty & Engagement,SOTA,0.07282990837318805,0.0011166969779777434,2000
Novelty & Engagement,is_broad,0.029520356016728862,0.18695100321283176,2000
