Readability,Target,rho,p
n_sentences,cites,0.10925064218035012,4.632502354059031e-10
n_sentences,TNCSI,0.10194346727266672,6.17134466263178e-09
n_sentences,TNCSI_SP,0.10602576285366146,1.4840902192180622e-09
n_sentences,Ref_num,0.11516804682510105,5.005411693922572e-11
n_sentences,RQM,0.05755676624032824,0.0010543173779705673
n_sentences,SMP,0.012311230745783339,0.4838706074821255
n_sentences,ARQ,0.07457707828840339,2.169847580490252e-05
n_sentences,OA,0.09874366125278593,1.8156552668221057e-08
n_sentences,is_practical,0.051792046004912606,0.0032079617624041603
n_sentences,new_task,0.056748655710728894,0.001239847755005101
n_sentences,new_dataset,0.04518196703836956,0.01015417636647155
n_sentences,SOTA,0.12058802902921005,5.892302856423047e-12
n_sentences,is_broad,-0.028180379257277913,0.10898681449744585
n_words,cites,0.11562167032412088,4.20040976368428e-11
n_words,TNCSI,0.11440845649617859,6.703311257067905e-11
n_words,TNCSI_SP,0.12153174382830202,4.0196042441834465e-12
n_words,Ref_num,0.20116983547291478,6.753763162888382e-31
n_words,RQM,0.042552860023063056,0.015485675018329138
n_words,SMP,0.013071213486979061,0.4572930656832036
n_words,ARQ,0.05585906014429078,0.001478633898227748
n_words,OA,0.026371991502089805,0.13364693631869617
n_words,is_practical,-0.022919473584231652,0.19241734056074836
n_words,new_task,0.03461603867887287,0.048953999357934555
n_words,new_dataset,0.0029199057985253387,0.8681274342479725
n_words,SOTA,0.08880311923669736,4.1994360347098863e-07
n_words,is_broad,-0.032150380379836446,0.06744938201001155
n_characters,cites,0.1270644401839096,4.022590672485128e-13
n_characters,TNCSI,0.1205983251591803,5.867860496891933e-12
n_characters,TNCSI_SP,0.13088608897833584,7.728286264504364e-14
n_characters,Ref_num,0.23343478353190109,2.675244828983709e-41
n_characters,RQM,0.04865645636943101,0.005632634828123375
n_characters,SMP,-0.0014562882045741456,0.9340024337155999
n_characters,ARQ,0.056650100775202626,0.0012644288674639975
n_characters,OA,0.035063028891468694,0.046104771511903814
n_characters,is_practical,-0.04969331003747158,0.0046912877082711385
n_characters,new_task,0.025943802222142806,0.14007456525788503
n_characters,new_dataset,-0.016366349202486082,0.35200031929432407
n_characters,SOTA,0.08669319531784062,7.851956332304291e-07
n_characters,is_broad,-0.02048670419900283,0.24398838918020685
n_syllables,cites,0.11777673312046277,1.809245063397245e-11
n_syllables,TNCSI,0.11471235227728484,5.965388853957334e-11
n_syllables,TNCSI_SP,0.12605017179016897,6.181373877169312e-13
n_syllables,Ref_num,0.22727195200459144,3.503355807296883e-39
n_syllables,RQM,0.035766268434430766,0.04190529461755905
n_syllables,SMP,0.013871635792075164,0.4302096866821312
n_syllables,ARQ,0.04906777133583383,0.005240518421908216
n_syllables,OA,0.02739315062772914,0.11923965429187197
n_syllables,is_practical,-0.051771017863764625,0.003220413832389692
n_syllables,new_task,0.02654012160115368,0.13118638607141597
n_syllables,new_dataset,-0.011852158646350561,0.5003219224643256
n_syllables,SOTA,0.07786596687123883,9.228868459107351e-06
n_syllables,is_broad,-0.02125641608755245,0.22671712955060122
n_polysyllables,cites,0.10225232824678443,5.5510871223684204e-09
n_polysyllables,TNCSI,0.1005614778800834,9.875581509599882e-09
n_polysyllables,TNCSI_SP,0.11516881682115103,5.00392506351261e-11
n_polysyllables,Ref_num,0.21558955113515305,2.442524537189827e-35
n_polysyllables,RQM,0.009130607772281866,0.6036125341155415
n_polysyllables,SMP,0.03280512806054955,0.062051324882463184
n_polysyllables,ARQ,0.026349101475971685,0.13398466956972488
n_polysyllables,OA,0.030929718611857945,0.07854278866835422
n_polysyllables,is_practical,-0.06673182327273863,0.0001453603871884934
n_polysyllables,new_task,0.028182810205323025,0.10895626924168314
n_polysyllables,new_dataset,-0.006662138566804734,0.7048072726615402
n_polysyllables,SOTA,0.05973498048712799,0.0006743554698721239
n_polysyllables,is_broad,-0.002576771027215712,0.8835066215683546
ARI,cites,0.003515247673527301,0.8415656616975089
ARI,TNCSI,-0.006023628824061977,0.7319520930218639
ARI,TNCSI_SP,-0.0007117294074583011,0.9677170721264094
ARI,Ref_num,0.11436660179723733,6.81169183596774e-11
ARI,RQM,-0.023546549569393727,0.18052716643654054
ARI,SMP,-0.016780149368972503,0.3399563714928385
ARI,ARQ,-0.036341232775581975,0.03871662645850732
ARI,OA,-0.06718213403282128,0.0001310071096322088
ARI,is_practical,-0.12205543776754997,3.2467939639334604e-12
ARI,new_task,-0.054828244913107026,0.0018079375014793582
ARI,new_dataset,-0.08373458320081927,1.843622343760629e-06
ARI,SOTA,-0.04207351842580465,0.016687434115028738
ARI,is_broad,0.026651148415952883,0.12958087633664714
SMOG,cites,-0.020956926591074017,0.23333069858307562
SMOG,TNCSI,-0.016428854777713827,0.35016393499755893
SMOG,TNCSI_SP,-0.00779197424615236,0.6577016803936396
SMOG,Ref_num,0.08287780358727923,2.3483106982478025e-06
SMOG,RQM,-0.05678962324647149,0.001229760216115944
SMOG,SMP,0.03382085514236932,0.05438779332628794
SMOG,ARQ,-0.0511260602429979,0.003624380699581627
SMOG,OA,-0.0729733789531392,3.251605439119178e-05
SMOG,is_practical,-0.10936292414419063,4.4457381867645033e-10
SMOG,new_task,-0.03283807478583573,0.061789421778875545
SMOG,new_dataset,-0.0465557591167391,0.008078362196026348
SMOG,SOTA,-0.05191459158168828,0.0031362633452686243
SMOG,is_broad,0.021303636620472476,0.22568668724490407
Flesch_Kincaid_Grade,cites,-0.018375179814001025,0.2960358607981788
Flesch_Kincaid_Grade,TNCSI,-0.020566652066694887,0.2421526404191101
Flesch_Kincaid_Grade,TNCSI_SP,-0.013349755703103218,0.44776125468316796
Flesch_Kincaid_Grade,Ref_num,0.10207305434027437,5.903309067773163e-09
Flesch_Kincaid_Grade,RQM,-0.05162606677675271,0.003307452979450017
Flesch_Kincaid_Grade,SMP,0.018950897762122536,0.28115952674849665
Flesch_Kincaid_Grade,ARQ,-0.052049763479228295,0.0030588734875900774
Flesch_Kincaid_Grade,OA,-0.08077454172458301,4.211299149384919e-06
Flesch_Kincaid_Grade,is_practical,-0.12530898868083926,8.442797812094029e-13
Flesch_Kincaid_Grade,new_task,-0.05316730180315233,0.0024827284058311794
Flesch_Kincaid_Grade,new_dataset,-0.0765662466852701,1.2991106863136419e-05
Flesch_Kincaid_Grade,SOTA,-0.058396379524141624,0.0008890161270784007
Flesch_Kincaid_Grade,is_broad,0.026690646466268595,0.12901340446331913
Flesch_Reading_Ease,cites,0.007205336573260444,0.6820050028661613
Flesch_Reading_Ease,TNCSI,0.006757423242129799,0.7007874985855267
Flesch_Reading_Ease,TNCSI_SP,-0.0005624432424411069,0.9744858443939661
Flesch_Reading_Ease,Ref_num,-0.1220305103482284,3.280027646986021e-12
Flesch_Reading_Ease,RQM,0.04810596107288104,0.006198799115609674
Flesch_Reading_Ease,SMP,-0.03250771333131269,0.06445736136048259
Flesch_Reading_Ease,ARQ,0.03897373106644626,0.026620387098186378
Flesch_Reading_Ease,OA,0.04166603505194304,0.017772627139861694
Flesch_Reading_Ease,is_practical,0.13196120463863684,4.8162471871473584e-14
Flesch_Reading_Ease,new_task,0.05216870423469704,0.0029922205367986063
Flesch_Reading_Ease,new_dataset,0.07578141036917611,1.5929198833447695e-05
Flesch_Reading_Ease,SOTA,0.04759100447028276,0.006774244245070988
Flesch_Reading_Ease,is_broad,-0.03371420382346701,0.055153461478451904
Coleman_Liau,cites,0.04701025673532141,0.007480418312431969
Coleman_Liau,TNCSI,0.0337597910535134,0.05482509090598654
Coleman_Liau,TNCSI_SP,0.03777433742677,0.03165327285218306
Coleman_Liau,Ref_num,0.15009886383557364,9.173082842155795e-18
Coleman_Liau,RQM,0.018848561080773037,0.28376611980667327
Coleman_Liau,SMP,-0.037521278984581026,0.0328135867982553
