Readability,Target,rho,p
n_sentences,score_mean,0.07617692630343104,0.00011899476598912915
n_sentences,score_weighted,0.07739406952661014,9.235067089770564e-05
n_sentences,score_median,0.0720916915591995,0.00027130448066365476
n_sentences,accept,0.07483958541304861,0.00015655245232880523
n_sentences,cites,0.07922590557410679,6.262685542407968e-05
n_sentences,TNCSI,0.06475974598839818,0.0010750521810857598
n_sentences,TNCSI_SP,0.06720497527623419,0.0006891481656946276
n_words,score_mean,0.035004770195974026,0.07734750588844973
n_words,score_weighted,0.03535267405731181,0.07444741484523752
n_words,score_median,0.032871494651463475,0.09719919659438606
n_words,accept,0.02331915938709369,0.2394154213043492
n_words,cites,0.04273640880570569,0.031025959308333448
n_words,TNCSI,0.047895019639195215,0.01563365112595743
n_words,TNCSI_SP,0.041651170593011246,0.03555996241464428
n_characters,score_mean,0.020781561353769285,0.29445513926453365
n_characters,score_weighted,0.02120586711273096,0.2847054508935561
n_characters,score_median,0.022677248082280905,0.2526002514519933
n_characters,accept,0.017841146222162204,0.36810256080198256
n_characters,cites,0.009709811309807928,0.6242726543845313
n_characters,TNCSI,0.01733716127723629,0.38178897034837933
n_characters,TNCSI_SP,0.021477741070980973,0.2785743607895792
n_syllables,score_mean,0.018149823203115978,0.3598727284282416
n_syllables,score_weighted,0.018397398382761197,0.3533561135120302
n_syllables,score_median,0.018914931091195093,0.3399763712615482
n_syllables,accept,0.01636510674414142,0.4090531792885246
n_syllables,cites,0.0024167655277656246,0.902970951157313
n_syllables,TNCSI,0.013151820440931323,0.5070446552227901
n_syllables,TNCSI_SP,0.017889954381772877,0.366793518120169
n_polysyllables,score_mean,-0.01010835732307017,0.6101150233696894
n_polysyllables,score_weighted,-0.010298458114697543,0.6034126108378435
n_polysyllables,score_median,-0.006145234890108137,0.7565706584222924
n_polysyllables,accept,-0.005677077425604466,0.7745937248953636
n_polysyllables,cites,-0.047335241465512774,0.016890966861391486
n_polysyllables,TNCSI,-0.023404481158104787,0.23770012446792363
n_polysyllables,TNCSI_SP,-0.006278795611474223,0.7514525466202785
ARI,score_mean,-0.07857766434322251,7.192234734908514e-05
ARI,score_weighted,-0.08008119718080206,5.209177117222833e-05
ARI,score_median,-0.07144158155638554,0.000308160609939093
ARI,accept,-0.07258774944285307,0.00024600471488208373
ARI,cites,-0.11938260279878928,1.5067003386252023e-09
ARI,TNCSI,-0.09413982081123791,1.9429362774549463e-06
ARI,TNCSI_SP,-0.07736744055846939,9.286788672711009e-05
SMOG,score_mean,-0.08236894370787573,3.15453798824624e-05
SMOG,score_weighted,-0.08426759805682218,2.0599739405325034e-05
SMOG,score_median,-0.07550927176897439,0.00013653447193138276
SMOG,accept,-0.07855050891195506,7.23388808406629e-05
SMOG,cites,-0.1279849666631386,9.013979800437558e-11
SMOG,TNCSI,-0.08946628102105877,6.125189285974734e-06
SMOG,TNCSI_SP,-0.0727770458072739,0.00023694699165544068
Flesch_Kincaid_Grade,score_mean,-0.08241971825891968,3.119156189732336e-05
Flesch_Kincaid_Grade,score_weighted,-0.08404922092355137,2.1644457406246405e-05
Flesch_Kincaid_Grade,score_median,-0.07620306095902378,0.00011835338980716827
Flesch_Kincaid_Grade,accept,-0.07579402882773424,0.0001287751847097651
Flesch_Kincaid_Grade,cites,-0.14049362986370484,1.0615857033708356e-12
Flesch_Kincaid_Grade,TNCSI,-0.10881877644073777,3.6811104960648856e-08
Flesch_Kincaid_Grade,TNCSI_SP,-0.08877481518279756,7.225599301655465e-06
Flesch_Reading_Ease,score_mean,0.08032017460281694,4.946272299670205e-05
Flesch_Reading_Ease,score_weighted,0.08130469943585049,3.989992124599482e-05
Flesch_Reading_Ease,score_median,0.07221526835252794,0.0002647832872469668
Flesch_Reading_Ease,accept,0.06325807941528247,0.0014025346875609758
Flesch_Reading_Ease,cites,0.1663285560862297,2.937223857563794e-17
Flesch_Reading_Ease,TNCSI,0.13534098230925795,6.954435801943386e-12
Flesch_Reading_Ease,TNCSI_SP,0.0970772702366955,9.179009926781562e-07
Coleman_Liau,score_mean,-0.06656465518265328,0.0007753386527674206
Coleman_Liau,score_weighted,-0.06713506489381017,0.0006981059589330179
Coleman_Liau,score_median,-0.05273742580824297,0.007765745875342093
Coleman_Liau,accept,-0.04238233892324171,0.032447418325535674
Coleman_Liau,cites,-0.14506218019454092,1.8905184651414381e-13
Coleman_Liau,TNCSI,-0.12993611933605664,4.632431295947558e-11
Coleman_Liau,TNCSI_SP,-0.08268325959613093,2.9414834139564333e-05
Gunning_Fog,score_mean,-0.0810201266328554,4.246674995301146e-05
Gunning_Fog,score_weighted,-0.08268938186701413,2.9374724892067244e-05
Gunning_Fog,score_median,-0.07456573776647084,0.00016550796075389288
Gunning_Fog,accept,-0.07533753813924161,0.00014142460343866651
Gunning_Fog,cites,-0.13334990638877145,1.4110172951479021e-11
Gunning_Fog,TNCSI,-0.09477571199563775,1.6548665405741903e-06
Gunning_Fog,TNCSI_SP,-0.0753817474889854,0.00014015021609262285
