Component,Target,rho,p,n
Quality & Reliability,score_mean,0.11685264257196666,1.3109818036705483e-06,1705
Quality & Reliability,score_weighted,0.1166985844535299,1.353997897142713e-06,1705
Quality & Reliability,score_median,0.11970786012581257,7.153693029716235e-07,1705
Quality & Reliability,accept,0.08896723808507134,0.00023488102026007497,1705
Quality & Reliability,cites,0.09541544172508679,7.947533351660636e-05,1705
Quality & Reliability,TNCSI,0.09756645282413343,5.4519697821202174e-05,1705
Quality & Reliability,TNCSI_SP,0.10250429854775711,2.2288218558326074e-05,1705
Accessibility & Understandability,score_mean,0.08262187329825622,0.0006379818634792452,1705
Accessibility & Understandability,score_weighted,0.08252406954475104,0.0006475485333494568,1705
Accessibility & Understandability,score_median,0.0574821552273628,0.01760823462822178,1705
Accessibility & Understandability,accept,0.06555935311317394,0.006769373273564573,1705
Accessibility & Understandability,cites,0.18027926636153838,6.376982341513162e-14,1705
Accessibility & Understandability,TNCSI,0.1385705997583594,9.173130369374644e-09,1705
Accessibility & Understandability,TNCSI_SP,0.1297075578539137,7.674034208287088e-08,1705
Novelty & Engagement,score_mean,0.13680224983269615,1.4169363586477985e-08,1705
Novelty & Engagement,score_weighted,0.1341802610378525,2.672698645851785e-08,1705
Novelty & Engagement,score_median,0.13430225302984322,2.5956335751206275e-08,1705
Novelty & Engagement,accept,0.12297537272956438,3.5155914176903684e-07,1705
Novelty & Engagement,cites,0.17515548991113022,3.251991717187507e-13,1705
Novelty & Engagement,TNCSI,0.16968011343706585,1.7581928914605964e-12,1705
Novelty & Engagement,TNCSI_SP,0.14882722100009516,6.606559656782602e-10,1705
