Readability,Target,rho,p
n_sentences,cites,0.10919970865164025,4.690808856545809e-10
n_sentences,TNCSI,0.10252828904748341,5.02115835457117e-09
n_sentences,TNCSI_SP,0.1054724518969495,1.7957199982396493e-09
n_sentences,Ref_num,0.11482882958177637,5.665571209747132e-11
n_sentences,RQM,0.05782605808445855,0.0009966299640736698
n_sentences,SMP,0.012783122788266005,0.46720147393243716
n_sentences,ARQ,0.07507197915683857,1.9064229869992225e-05
n_sentences,OA,0.09833954324334165,2.0654822728169646e-08
n_sentences,is_practical,0.052119464098856996,0.0030151528655008807
n_sentences,new_task,0.056554859759041724,0.0012863757545104751
n_sentences,new_dataset,0.04497386280211716,0.010495011052708073
n_sentences,SOTA,0.12019747183183223,6.845833246299803e-12
n_sentences,is_broad,-0.028291983365381523,0.1075370722377444
n_words,cites,0.1155571111734136,4.2772379444839744e-11
n_words,TNCSI,0.11499864174870474,5.3069672527136086e-11
n_words,TNCSI_SP,0.12094102419940493,5.0703858536912335e-12
n_words,Ref_num,0.20077459979164908,8.662519076540778e-31
n_words,RQM,0.04284110055710465,0.014784851612402578
n_words,SMP,0.013571580509111735,0.44018106172589977
n_words,ARQ,0.0563929352692561,0.0013284082361043118
n_words,OA,0.025984933195407053,0.13938584046070596
n_words,is_practical,-0.02253885863519607,0.1998399090335636
n_words,new_task,0.034418213075462264,0.05022583542309744
n_words,new_dataset,0.0027203795668144905,0.8770455922650988
n_words,SOTA,0.08840666317671389,4.709405512452002e-07
n_words,is_broad,-0.032268421589561655,0.06640660458445528
n_characters,cites,0.1269954616242443,4.108152396946846e-13
n_characters,TNCSI,0.12118906411441967,4.5853112038025265e-12
n_characters,TNCSI_SP,0.1302904608858777,9.939305534520325e-14
n_characters,Ref_num,0.23302025187837128,3.626909791797258e-41
n_characters,RQM,0.0489431698708073,0.00534951022326578
n_characters,SMP,-0.0009442411329176949,0.9571729703945825
n_characters,ARQ,0.05718932696265088,0.0011332304871932435
n_characters,OA,0.0346684798535646,0.04857745849360171
n_characters,is_practical,-0.049296122926126035,0.005026860645274022
n_characters,new_task,0.025749095226005755,0.14301302170760138
n_characters,new_dataset,-0.01655749116111113,0.3463292522621594
n_characters,SOTA,0.08629572595023145,8.78615412965877e-07
n_characters,is_broad,-0.020610257632894015,0.24108273581770726
n_syllables,cites,0.11771223534205648,1.842669819734584e-11
n_syllables,TNCSI,0.11529939460524793,4.725533004008099e-11
n_syllables,TNCSI_SP,0.12546267172102776,7.851750477503124e-13
n_syllables,Ref_num,0.22686374836494996,4.687881350224641e-39
n_syllables,RQM,0.03605419101424729,0.04025090232833833
n_syllables,SMP,0.014372678245417391,0.4136686060311886
n_syllables,ARQ,0.04960462689671514,0.004759361941892311
n_syllables,OA,0.027006250630279435,0.12448992031928471
n_syllables,is_practical,-0.05137760730599077,0.003456618686858159
n_syllables,new_task,0.026347262529489802,0.1339516871348037
n_syllables,new_dataset,-0.012044502536581058,0.4933263751780711
n_syllables,SOTA,0.07747390304677321,1.0205133049335045e-05
n_syllables,is_broad,-0.021379606611058304,0.22396427957391832
n_polysyllables,cites,0.10220097068578043,5.619437876262318e-09
n_polysyllables,TNCSI,0.1011322942020286,8.09576792675921e-09
n_polysyllables,TNCSI_SP,0.11462292748040541,6.132263609829085e-11
n_polysyllables,Ref_num,0.2152047808115721,3.1645225114573093e-35
n_polysyllables,RQM,0.009416488226929438,0.5922677579566622
n_polysyllables,SMP,0.03327646096365024,0.05835185121379934
n_polysyllables,ARQ,0.02687788824583742,0.12629089030243412
n_polysyllables,OA,0.030556867547008235,0.08216564894948448
n_polysyllables,is_practical,-0.06635294676077952,0.00015819917917561668
n_polysyllables,new_task,0.027998707541669353,0.11123349296967212
n_polysyllables,new_dataset,-0.006845152272696483,0.6970493446064965
n_polysyllables,SOTA,0.05937751893258233,0.0007250164175919172
n_polysyllables,is_broad,-0.0027067269350706364,0.8776577884642066
ARI,cites,0.003515451321686142,0.8415324309724727
ARI,TNCSI,-0.006048207837267943,0.7308606916802775
ARI,TNCSI_SP,-0.0006880433386710389,0.9687860546711642
ARI,Ref_num,0.11437415053480693,6.74644894085483e-11
ARI,RQM,-0.023559816175415072,0.18021428891549549
ARI,SMP,-0.016779935004201198,0.33988787916321983
ARI,ARQ,-0.03634269466669292,0.03867869694338622
ARI,OA,-0.06716430952423295,0.00013123370796171908
ARI,is_practical,-0.12205491685358662,3.222725146997225e-12
ARI,new_task,-0.05482159315487532,0.0018073037607101638
ARI,new_dataset,-0.08372319641017507,1.8428309739462575e-06
ARI,SOTA,-0.04205975737653066,0.016706257239719875
ARI,is_broad,0.026651938918538277,0.12951022953383748
SMOG,cites,-0.02095556829282162,0.23328873579243595
SMOG,TNCSI,-0.01664507273459255,0.3437839083808114
SMOG,TNCSI_SP,-0.00762981776988319,0.6643360883322711
SMOG,Ref_num,0.08295884680470007,2.2871643431813115e-06
SMOG,RQM,-0.056885889025790025,0.0012042393783830796
SMOG,SMP,0.03367134598997717,0.055425926234165424
SMOG,ARQ,-0.05128532966023211,0.0035154612254023813
SMOG,OA,-0.07285720439205814,3.337877407399549e-05
SMOG,is_practical,-0.1094554557383461,4.2709151698315575e-10
SMOG,new_task,-0.032784307961578614,0.06217688003448504
SMOG,new_dataset,-0.04649391251194449,0.008153089293999303
SMOG,SOTA,-0.05179734489713274,0.0032001104309801807
SMOG,is_broad,0.021344322677731186,0.22472984887867561
Flesch_Kincaid_Grade,cites,-0.018378125740040906,0.29588375277953105
