Dataset,Split,Model,n,Component,Target,rho,p
naidv1,train,GPT,2000,Novelty & Engagement,new_dataset,-0.018969870492410116,0.3964912615794375
naidv1,train,GPT,2000,Novelty & Engagement,SOTA,0.14501540536571336,7.23509720930695e-11
naidv1,train,GPT,2000,Novelty & Engagement,is_broad,0.03748596907483687,0.09374515293998444
naidv1,train,Deepseek,1969,Quality & Reliability,cites,0.15057111898632802,1.8751127101737016e-11
naidv1,train,Deepseek,1969,Quality & Reliability,TNCSI,0.14330910421910456,1.6798689591223262e-10
naidv1,train,Deepseek,1969,Quality & Reliability,TNCSI_SP,0.1513739433015799,1.4616937593651657e-11
naidv1,train,Deepseek,1969,Quality & Reliability,Ref_num,0.017684625707062085,0.43286981852357753
naidv1,train,Deepseek,1969,Quality & Reliability,RQM,0.0862831107382837,0.00012638647299464178
naidv1,train,Deepseek,1969,Quality & Reliability,SMP,-0.06246956863168806,0.005555298552154272
naidv1,train,Deepseek,1969,Quality & Reliability,ARQ,0.07625757689858768,0.0007076645022116209
naidv1,train,Deepseek,1969,Quality & Reliability,OA,0.10551820238178837,2.7010546952890864e-06
naidv1,train,Deepseek,1969,Quality & Reliability,is_practical,0.17156713930118042,1.787114959877331e-14
naidv1,train,Deepseek,1969,Quality & Reliability,new_task,0.07982578904860203,0.00039179089176083454
naidv1,train,Deepseek,1969,Quality & Reliability,new_dataset,0.11244513703095772,5.665688384067896e-07
naidv1,train,Deepseek,1969,Quality & Reliability,SOTA,0.1932201622769919,5.148604707954091e-18
naidv1,train,Deepseek,1969,Quality & Reliability,is_broad,-0.04478582455938518,0.046918515781076725
naidv1,train,Deepseek,1969,Accessibility & Understandability,cites,0.10335980560860968,4.3103274557912205e-06
naidv1,train,Deepseek,1969,Accessibility & Understandability,TNCSI,0.08979758300337663,6.602923184781906e-05
naidv1,train,Deepseek,1969,Accessibility & Understandability,TNCSI_SP,0.1026488179054287,5.017697250496368e-06
naidv1,train,Deepseek,1969,Accessibility & Understandability,Ref_num,-0.08552025932945562,0.00014505955249997557
naidv1,train,Deepseek,1969,Accessibility & Understandability,RQM,0.1001699992245905,8.457356638573324e-06
naidv1,train,Deepseek,1969,Accessibility & Understandability,SMP,-0.11406400167126135,3.8797432440203483e-07
naidv1,train,Deepseek,1969,Accessibility & Understandability,ARQ,0.0561308908426371,0.01273476538193658
