Readability,Target,rho,p
n_sentences,score_mean,0.06857431235254251,0.004323676362005062
n_sentences,score_weighted,0.06910354457077705,0.004032568507659948
n_sentences,score_median,0.06844041274563396,0.004400284772338049
n_sentences,accept,0.06493412410815513,0.006898142870148959
n_sentences,cites,0.10052254429769508,2.806158177608649e-05
n_sentences,TNCSI,0.07137802274751578,0.002973262526764279
n_sentences,TNCSI_SP,0.058773349364014175,0.014488330217426137
n_words,score_mean,0.04136245741888291,0.08545201105067075
n_words,score_weighted,0.04032407180541482,0.09360514544185111
n_words,score_median,0.04349532507852709,0.07050367218101398
n_words,accept,0.014116727407867498,0.5573610881956494
n_words,cites,0.06623152988193655,0.005854504312525594
n_words,TNCSI,0.06226607982244779,0.009583892443238436
n_words,TNCSI_SP,0.03810010395903604,0.11316240456331277
n_characters,score_mean,0.039539485055760486,0.10016987467414634
n_characters,score_weighted,0.03853240659729259,0.10912790053279607
n_characters,score_median,0.04551230862933113,0.05840866615868932
n_characters,accept,0.014917918783940142,0.5352110240768344
n_characters,cites,0.05413846995292622,0.024333657838798796
n_characters,TNCSI,0.05044664062990357,0.035899847269214163
n_characters,TNCSI_SP,0.02354266821257903,0.32775571473855525
n_syllables,score_mean,0.03565025654994921,0.13828440109447257
n_syllables,score_weighted,0.03429324660055595,0.15393860942279464
n_syllables,score_median,0.040099722659115516,0.0954460942711368
n_syllables,accept,0.013170373198501699,0.5840856350251568
n_syllables,cites,0.04440312660355611,0.06482733023618689
n_syllables,TNCSI,0.04552227694285128,0.058353464303567144
n_syllables,TNCSI_SP,0.017800795255826174,0.4593505174529626
n_polysyllables,score_mean,0.0212410120773134,0.3772664397105807
n_polysyllables,score_weighted,0.019500031869365757,0.41761787670510997
n_polysyllables,score_median,0.027686341854730477,0.2497512656555378
n_polysyllables,accept,0.0037247890504230902,0.8769673935847915
n_polysyllables,cites,0.010378674116794943,0.6661902101345234
n_polysyllables,TNCSI,0.026811097393593795,0.26504094683883617
n_polysyllables,TNCSI_SP,-0.004738268354930781,0.8438754865677217
ARI,score_mean,-0.04196963930832434,0.08095672768884125
ARI,score_weighted,-0.04381980694847413,0.06842966453752501
ARI,score_median,-0.03374185531074977,0.16067078735536255
ARI,accept,-0.058323538991743896,0.015258757117064073
ARI,cites,-0.0801574157805125,0.0008469718513911068
ARI,TNCSI,-0.05131653133757694,0.03281939303528135
ARI,TNCSI_SP,-0.06553519729942267,0.0063954793084079415
SMOG,score_mean,-0.050078374999864284,0.037276332866149516
SMOG,score_weighted,-0.052723120174477826,0.028316956035919227
SMOG,score_median,-0.0428417201926742,0.07483780137721957
SMOG,accept,-0.06639938962024404,0.0057304218274843
SMOG,cites,-0.09716974271862279,5.15978645535129e-05
SMOG,TNCSI,-0.05265955989301691,0.028508299090158704
SMOG,TNCSI_SP,-0.07203895531661461,0.0027169908306427628
Flesch_Kincaid_Grade,score_mean,-0.046351682658261305,0.053909809378337725
Flesch_Kincaid_Grade,score_weighted,-0.048895148551696244,0.04200653612830719
Flesch_Kincaid_Grade,score_median,-0.03970897508235108,0.09872152788081316
Flesch_Kincaid_Grade,accept,-0.06367715554856367,0.008065496677015399
Flesch_Kincaid_Grade,cites,-0.10743420409043127,7.524809157567659e-06
Flesch_Kincaid_Grade,TNCSI,-0.06849707371382428,0.004367718366349753
Flesch_Kincaid_Grade,TNCSI_SP,-0.08452495406617481,0.00043247902463344344
Flesch_Reading_Ease,score_mean,0.03740600032575409,0.11988473847415461
Flesch_Reading_Ease,score_weighted,0.039573361894505256,0.09987904062956451
Flesch_Reading_Ease,score_median,0.029807051213144555,0.2152892418134672
Flesch_Reading_Ease,accept,0.045832545558776985,0.05665680941508384
Flesch_Reading_Ease,cites,0.11869378953249171,7.390734400769119e-07
Flesch_Reading_Ease,TNCSI,0.081832140387682,0.0006570010297632801
Flesch_Reading_Ease,TNCSI_SP,0.09480136405521097,7.843069019548829e-05
Coleman_Liau,score_mean,-0.016946530316704192,0.4811820210122344
Coleman_Liau,score_weighted,-0.017684492796765604,0.46228974272068935
Coleman_Liau,score_median,-0.0015095932626101021,0.9499707009842425
Coleman_Liau,accept,-0.013511617924594058,0.574380545157078
Coleman_Liau,cites,-0.07977789290461956,0.0008965717202479743
Coleman_Liau,TNCSI,-0.06888169897351445,0.00415236078076724
Coleman_Liau,TNCSI_SP,-0.07194285862918197,0.0027529538670000736
Gunning_Fog,score_mean,-0.048807641671460046,0.042375673093546326
Gunning_Fog,score_weighted,-0.05142532600977651,0.032450522435051615
Gunning_Fog,score_median,-0.042078190220884874,0.0801736503036739
Gunning_Fog,accept,-0.06302120859463808,0.008742312378109868
Gunning_Fog,cites,-0.09801843425079158,4.430567408512969e-05
Gunning_Fog,TNCSI,-0.0527816133646445,0.028141844953195223
Gunning_Fog,TNCSI_SP,-0.07307419447290474,0.0023558694779237943
