Dataset,Split,Model,n,Component,Target,rho,p
naidv1,train,GPT,2000,Quality & Reliability,cites,0.22231315333796686,8.124446608073729e-24
naidv1,train,GPT,2000,Quality & Reliability,TNCSI,0.191445895421034,5.802815715661277e-18
naidv1,train,GPT,2000,Quality & Reliability,TNCSI_SP,0.2155300077872926,1.8897740648904226e-22
naidv1,train,GPT,2000,Quality & Reliability,Ref_num,0.10594905129473775,2.0483584983720564e-06
naidv1,train,GPT,2000,Quality & Reliability,RQM,0.05047876342647947,0.023976423797297048
naidv1,train,GPT,2000,Quality & Reliability,SMP,-0.04820933450226963,0.03109204822002462
naidv1,train,GPT,2000,Quality & Reliability,ARQ,0.04541860974090826,0.042259033278870956
naidv1,train,GPT,2000,Quality & Reliability,OA,0.14683200824730813,4.161422930158525e-11
naidv1,train,GPT,2000,Quality & Reliability,is_practical,0.12563907147374814,1.724473047189983e-08
naidv1,train,GPT,2000,Quality & Reliability,new_task,0.08860200368089537,7.256045346051177e-05
naidv1,train,GPT,2000,Quality & Reliability,new_dataset,0.12955568176161888,6.07044427189468e-09
naidv1,train,GPT,2000,Quality & Reliability,SOTA,0.22154330223797786,1.1673540346648225e-23
naidv1,train,GPT,2000,Quality & Reliability,is_broad,-0.019402642417732107,0.3858041114862264
naidv1,train,GPT,2000,Accessibility & Understandability,cites,0.03721992639773773,0.09610010873981283
naidv1,train,GPT,2000,Accessibility & Understandability,TNCSI,0.05711780064127435,0.010622605803278866
naidv1,train,GPT,2000,Accessibility & Understandability,TNCSI_SP,0.042163577141091015,0.05939312306756225
naidv1,train,GPT,2000,Accessibility & Understandability,Ref_num,-0.14436942536801806,8.793032954173112e-11
naidv1,train,GPT,2000,Accessibility & Understandability,RQM,0.04822463336041105,0.031038590894994455
naidv1,train,GPT,2000,Accessibility & Understandability,SMP,-0.08249140528678128,0.00022152207108202965
naidv1,train,GPT,2000,Accessibility & Understandability,ARQ,0.010600143431836287,0.6356640960350952
naidv1,train,GPT,2000,Accessibility & Understandability,OA,0.021076806950769272,0.3461420469595591
naidv1,train,GPT,2000,Accessibility & Understandability,is_practical,0.2197593719786722,2.6895747363526295e-23
naidv1,train,GPT,2000,Accessibility & Understandability,new_task,0.06889726195923446,0.002049825336602641
naidv1,train,GPT,2000,Accessibility & Understandability,new_dataset,0.22239295963986863,7.82424056735979e-24
naidv1,train,GPT,2000,Accessibility & Understandability,SOTA,-0.15961889045009708,6.971610757664314e-13
naidv1,train,GPT,2000,Accessibility & Understandability,is_broad,0.07438774584113216,0.0008707875873558756
naidv1,train,GPT,2000,Novelty & Engagement,cites,0.26652386848682397,7.151913128272181e-34
naidv1,train,GPT,2000,Novelty & Engagement,TNCSI,0.18672633727744783,3.7780546480415566e-17
naidv1,train,GPT,2000,Novelty & Engagement,TNCSI_SP,0.1958008563675848,9.861235849440488e-19
naidv1,train,GPT,2000,Novelty & Engagement,Ref_num,0.312312410699417,1.6904667015778925e-46
naidv1,train,GPT,2000,Novelty & Engagement,RQM,0.09666987327622194,1.48669107460571e-05
naidv1,train,GPT,2000,Novelty & Engagement,SMP,-0.10382373564500154,3.2743464471721452e-06
naidv1,train,GPT,2000,Novelty & Engagement,ARQ,0.060566098073222815,0.006740657776373433
naidv1,train,GPT,2000,Novelty & Engagement,OA,0.06487878191138664,0.0036994685663408913
naidv1,train,GPT,2000,Novelty & Engagement,is_practical,-0.1980080085323974,3.952398392817014e-19
naidv1,train,GPT,2000,Novelty & Engagement,new_task,0.08522404795718207,0.00013568943495391724
naidv1,train,GPT,2000,Novelty & Engagement,new_dataset,-0.014348101247389024,0.52132879813987
naidv1,train,GPT,2000,Novelty & Engagement,SOTA,0.07282990837318805,0.0011166969779777434
naidv1,train,GPT,2000,Novelty & Engagement,is_broad,0.029520356016728862,0.18695100321283176
naidv1,train,Deepseek,1962,Quality & Reliability,cites,0.02882043422446431,0.2019423240473215
naidv1,train,Deepseek,1962,Quality & Reliability,TNCSI,0.048500605410141895,0.03169757665026291
naidv1,train,Deepseek,1962,Quality & Reliability,TNCSI_SP,0.041469608725479036,0.06628467621010731
naidv1,train,Deepseek,1962,Quality & Reliability,Ref_num,0.006027751186294531,0.7896013570915694
naidv1,train,Deepseek,1962,Quality & Reliability,RQM,0.04209370742993617,0.062299742468254315
naidv1,train,Deepseek,1962,Quality & Reliability,SMP,0.006615508932292492,0.769639166512884
naidv1,train,Deepseek,1962,Quality & Reliability,ARQ,0.06173314052139799,0.006232285655473411
naidv1,train,Deepseek,1962,Quality & Reliability,OA,0.06051750643775361,0.007332791584128168
naidv1,train,Deepseek,1962,Quality & Reliability,is_practical,0.17601597602441585,4.0635916238776355e-15
naidv1,train,Deepseek,1962,Quality & Reliability,new_task,-0.0423037691452183,0.06100385744690697
naidv1,train,Deepseek,1962,Quality & Reliability,new_dataset,-0.07495678780573432,0.000891410587186304
naidv1,train,Deepseek,1962,Quality & Reliability,SOTA,0.25041284952715853,1.9584027984637e-29
naidv1,train,Deepseek,1962,Quality & Reliability,is_broad,-0.05024040820980357,0.026057123918838725
naidv1,train,Deepseek,1962,Accessibility & Understandability,cites,0.1396039375392199,5.292578528705177e-10
naidv1,train,Deepseek,1962,Accessibility & Understandability,TNCSI,0.12961981312882162,8.307115651432539e-09
naidv1,train,Deepseek,1962,Accessibility & Understandability,TNCSI_SP,0.13195209264334634,4.445757951917279e-09
naidv1,train,Deepseek,1962,Accessibility & Understandability,Ref_num,0.005167110390546047,0.8190787148330028
naidv1,train,Deepseek,1962,Accessibility & Understandability,RQM,0.10409581561134545,3.828392592735064e-06
naidv1,train,Deepseek,1962,Accessibility & Understandability,SMP,-0.12423770864309416,3.3719501920187533e-08
naidv1,train,Deepseek,1962,Accessibility & Understandability,ARQ,0.05727474895317414,0.011167261969311
naidv1,train,Deepseek,1962,Accessibility & Understandability,OA,0.09347686161495772,3.3693099726334386e-05
naidv1,train,Deepseek,1962,Accessibility & Understandability,is_practical,0.2300690895790785,5.541915057456698e-25
naidv1,train,Deepseek,1962,Accessibility & Understandability,new_task,0.07817820020875274,0.0005283407672933161
naidv1,train,Deepseek,1962,Accessibility & Understandability,new_dataset,0.22768412843496658,1.7315486794619938e-24
naidv1,train,Deepseek,1962,Accessibility & Understandability,SOTA,0.07344374334252035,0.001132026517823998
naidv1,train,Deepseek,1962,Accessibility & Understandability,is_broad,0.06208985654706502,0.005938841068731821
naidv1,train,Deepseek,1962,Novelty & Engagement,cites,0.2680525388389398,1.22895630471243e-33
naidv1,train,Deepseek,1962,Novelty & Engagement,TNCSI,0.16907905155422248,4.741991119857096e-14
naidv1,train,Deepseek,1962,Novelty & Engagement,TNCSI_SP,0.201359609745812,2.1404566953664143e-19
naidv1,train,Deepseek,1962,Novelty & Engagement,Ref_num,0.29007245155721617,2.412354497492668e-39
naidv1,train,Deepseek,1962,Novelty & Engagement,RQM,0.09543920357779043,2.2915933999032988e-05
naidv1,train,Deepseek,1962,Novelty & Engagement,SMP,-0.09769238983686977,1.4586156803463294e-05
naidv1,train,Deepseek,1962,Novelty & Engagement,ARQ,0.06670194153201991,0.0031172129715049232
naidv1,train,Deepseek,1962,Novelty & Engagement,OA,0.06154621493120539,0.00639120779210605
naidv1,train,Deepseek,1962,Novelty & Engagement,is_practical,-0.16015895432850005,9.626540796844513e-13
naidv1,train,Deepseek,1962,Novelty & Engagement,new_task,0.018899587147240188,0.4027677414898235
naidv1,train,Deepseek,1962,Novelty & Engagement,new_dataset,-0.0750742556656992,0.0008748687423228671
naidv1,train,Deepseek,1962,Novelty & Engagement,SOTA,0.1888813641434045,3.252509744395013e-17
naidv1,train,Deepseek,1962,Novelty & Engagement,is_broad,0.019242457693205175,0.39428617632090446
naidv1,train,Llama-3.1,2000,Quality & Reliability,cites,0.03394360224355045,0.12914244071737083
naidv1,train,Llama-3.1,2000,Quality & Reliability,TNCSI,0.03025043298912081,0.1762780255899758
naidv1,train,Llama-3.1,2000,Quality & Reliability,TNCSI_SP,0.04955559964482327,0.026679868728953598
naidv1,train,Llama-3.1,2000,Quality & Reliability,Ref_num,0.006109995291465562,0.7847924764219631
naidv1,train,Llama-3.1,2000,Quality & Reliability,RQM,0.009645683447592176,0.6663895363239043
naidv1,train,Llama-3.1,2000,Quality & Reliability,SMP,0.021291965591391643,0.34123990009898364
naidv1,train,Llama-3.1,2000,Quality & Reliability,ARQ,0.029100883813913427,0.19329509672185474
naidv1,train,Llama-3.1,2000,Quality & Reliability,OA,0.03470238730258358,0.12079748159292263
naidv1,train,Llama-3.1,2000,Quality & Reliability,is_practical,0.06223666576512125,0.005364875991572345
naidv1,train,Llama-3.1,2000,Quality & Reliability,new_task,0.04185142937808294,0.0613031544033495
naidv1,train,Llama-3.1,2000,Quality & Reliability,new_dataset,0.05625849280693447,0.011856848736002986
naidv1,train,Llama-3.1,2000,Quality & Reliability,SOTA,0.08584568587945227,0.00012112746006367433
naidv1,train,Llama-3.1,2000,Quality & Reliability,is_broad,-0.004011217107780004,0.8577212620506695
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,cites,0.1179954382743483,1.2091050546882278e-07
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,TNCSI,0.09894450509215368,9.291021013551288e-06
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,TNCSI_SP,0.11714782584873142,1.4896551647763426e-07
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,Ref_num,0.08343156955173654,0.00018745103151153903
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,RQM,0.07541118563558837,0.0007376499563954099
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,SMP,-0.03656416172731695,0.10210705597594984
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,ARQ,0.06758186440061409,0.002495216746732428
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,OA,0.08568957385388755,0.00012463925501532866
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,is_practical,0.1327666887797879,2.5193352079908284e-09
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,new_task,0.053968250885179744,0.015787826962591244
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,new_dataset,0.06241215283424521,0.005236173243208508
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,SOTA,0.17263847563695853,7.590130124931854e-15
naidv1,train,Llama-3.1,2000,Accessibility & Understandability,is_broad,-0.04366171645117419,0.05090003533590687
naidv1,train,Llama-3.1,2000,Novelty & Engagement,cites,-0.010773447611658094,0.6301498225116262
naidv1,train,Llama-3.1,2000,Novelty & Engagement,TNCSI,-0.009036302045612522,0.6863073526126939
naidv1,train,Llama-3.1,2000,Novelty & Engagement,TNCSI_SP,-0.0021299498336091356,0.9241600928660121
naidv1,train,Llama-3.1,2000,Novelty & Engagement,Ref_num,-0.09031079486282843,5.2420700854952446e-05
naidv1,train,Llama-3.1,2000,Novelty & Engagement,RQM,0.06537611708918972,0.003444446775400702
naidv1,train,Llama-3.1,2000,Novelty & Engagement,SMP,-0.027655387691445273,0.21636573863234315
naidv1,train,Llama-3.1,2000,Novelty & Engagement,ARQ,0.06804710976954244,0.002328456841339231
naidv1,train,Llama-3.1,2000,Novelty & Engagement,OA,0.04947790011895568,0.026918967345957178
naidv1,train,Llama-3.1,2000,Novelty & Engagement,is_practical,0.2611331184997642,1.5474330890342007e-32
naidv1,train,Llama-3.1,2000,Novelty & Engagement,new_task,0.02736060942510038,0.2213041509140141
naidv1,train,Llama-3.1,2000,Novelty & Engagement,new_dataset,0.009521470996456009,0.6704309967479666
naidv1,train,Llama-3.1,2000,Novelty & Engagement,SOTA,0.17965561110330427,5.709028433856172e-16
naidv1,train,Llama-3.1,2000,Novelty & Engagement,is_broad,-0.034921915386768185,0.11846351429596398
naidv1,train,Llama-3.3,1999,Quality & Reliability,cites,0.08466312845627051,0.00015080416391272352
naidv1,train,Llama-3.3,1999,Quality & Reliability,TNCSI,0.042173372412912254,0.059397671786968344
naidv1,train,Llama-3.3,1999,Quality & Reliability,TNCSI_SP,0.053773967335654003,0.016195511550780438
naidv1,train,Llama-3.3,1999,Quality & Reliability,Ref_num,0.07036564084899476,0.001643945237382108
naidv1,train,Llama-3.3,1999,Quality & Reliability,RQM,0.02689926425727713,0.22931078676696146
naidv1,train,Llama-3.3,1999,Quality & Reliability,SMP,-0.025488572456874456,0.25467360732423183
naidv1,train,Llama-3.3,1999,Quality & Reliability,ARQ,0.015413072966492181,0.49099250028387187
naidv1,train,Llama-3.3,1999,Quality & Reliability,OA,0.04393887941548028,0.04950285191351843
naidv1,train,Llama-3.3,1999,Quality & Reliability,is_practical,-0.0547531665731759,0.014352044074994711
naidv1,train,Llama-3.3,1999,Quality & Reliability,new_task,0.06592576103717195,0.0031888941925872724
naidv1,train,Llama-3.3,1999,Quality & Reliability,new_dataset,0.03817068735601376,0.0879759661266411
naidv1,train,Llama-3.3,1999,Quality & Reliability,SOTA,0.07245688910384566,0.0011877916224886532
naidv1,train,Llama-3.3,1999,Quality & Reliability,is_broad,0.0018729824855818764,0.9333036445494344
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,cites,0.05737226390659952,0.01029877249489496
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,TNCSI,0.07963120039834826,0.00036558238705956006
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,TNCSI_SP,0.06914027426225276,0.0019811597018747316
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,Ref_num,-0.04673146167481265,0.03668914156001372
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,RQM,0.10519344305454553,2.436679062157695e-06
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,SMP,-0.07012615723098267,0.0017053800922832462
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,ARQ,0.0966228163116284,1.5084594863208434e-05
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,OA,0.1115296818874969,5.762966525654886e-07
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,is_practical,0.34282422624170145,3.1417443741114396e-56
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,new_task,0.051315374505241707,0.021767756789376508
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,new_dataset,0.1495042529127811,1.8427463433823804e-11
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,SOTA,0.19831520509253517,3.548471802725143e-19
naidv1,train,Llama-3.3,1999,Accessibility & Understandability,is_broad,0.0056544879213676754,0.8005332424038684
naidv1,train,Llama-3.3,1999,Novelty & Engagement,cites,0.2629001439264979,5.9023310705568094e-33
naidv1,train,Llama-3.3,1999,Novelty & Engagement,TNCSI,0.16261777175889433,2.576466384335645e-13
naidv1,train,Llama-3.3,1999,Novelty & Engagement,TNCSI_SP,0.18202291757536157,2.368258325402572e-16
naidv1,train,Llama-3.3,1999,Novelty & Engagement,Ref_num,0.3128225690716399,1.2486120862829786e-46
naidv1,train,Llama-3.3,1999,Novelty & Engagement,RQM,0.10441481800453115,2.892948276031965e-06
naidv1,train,Llama-3.3,1999,Novelty & Engagement,SMP,-0.10461702271531902,2.7671507793325737e-06
naidv1,train,Llama-3.3,1999,Novelty & Engagement,ARQ,0.06814092434713985,0.0023019324743049174
naidv1,train,Llama-3.3,1999,Novelty & Engagement,OA,0.0800865810802886,0.0003381080633284031
naidv1,train,Llama-3.3,1999,Novelty & Engagement,is_practical,-0.20151754463726246,9.223506803308995e-20
naidv1,train,Llama-3.3,1999,Novelty & Engagement,new_task,0.05304175376490368,0.017706821735392304
naidv1,train,Llama-3.3,1999,Novelty & Engagement,new_dataset,-0.0492314373356729,0.027728645252542476
naidv1,train,Llama-3.3,1999,Novelty & Engagement,SOTA,0.1385295502193523,4.977351072860864e-10
naidv1,train,Llama-3.3,1999,Novelty & Engagement,is_broad,0.011955812298856608,0.5931815638042732
naidv1,test,GPT,1237,Quality & Reliability,cites,0.16912484529360222,2.157997654215232e-09
naidv1,test,GPT,1237,Quality & Reliability,TNCSI,0.12801861504305512,6.284402752547947e-06
naidv1,test,GPT,1237,Quality & Reliability,TNCSI_SP,0.1737535083688751,7.66287854127675e-10
naidv1,test,GPT,1237,Quality & Reliability,Ref_num,0.030175045095663662,0.288937482292504
naidv1,test,GPT,1237,Quality & Reliability,RQM,0.034737013540563084,0.22213555671439347
naidv1,test,GPT,1237,Quality & Reliability,SMP,-0.06856127343039699,0.015875303485850655
naidv1,test,GPT,1237,Quality & Reliability,ARQ,-0.0014411688171528283,0.959615459071393
naidv1,test,GPT,1237,Quality & Reliability,OA,0.199474916360248,1.4424858687634216e-12
naidv1,test,GPT,1237,Quality & Reliability,is_practical,0.21386248369230385,2.909654239612184e-14
naidv1,test,GPT,1237,Quality & Reliability,new_task,0.0583843563540019,0.04006168403375758
naidv1,test,GPT,1237,Quality & Reliability,new_dataset,0.11512580460595162,4.938926719623472e-05
naidv1,test,GPT,1237,Quality & Reliability,SOTA,0.21854391118082994,7.67804214470401e-15
naidv1,test,GPT,1237,Quality & Reliability,is_broad,0.02301271341395513,0.4187054412404517
naidv1,test,GPT,1237,Accessibility & Understandability,cites,0.01693647957693973,0.5517675548492058
naidv1,test,GPT,1237,Accessibility & Understandability,TNCSI,0.03518572107061133,0.2162173500582663
naidv1,test,GPT,1237,Accessibility & Understandability,TNCSI_SP,0.021372534311998013,0.45264093899071567
naidv1,test,GPT,1237,Accessibility & Understandability,Ref_num,-0.10013972004346959,0.00041978264178605426
naidv1,test,GPT,1237,Accessibility & Understandability,RQM,0.015661878177812776,0.5820992596006314
naidv1,test,GPT,1237,Accessibility & Understandability,SMP,-0.0735652923568781,0.009646283653640168
naidv1,test,GPT,1237,Accessibility & Understandability,ARQ,-0.03478156310476849,0.22154284322982085
naidv1,test,GPT,1237,Accessibility & Understandability,OA,-0.03294837528890418,0.24687607334457246
naidv1,test,GPT,1237,Accessibility & Understandability,is_practical,0.1843685577990907,6.405191703583901e-11
naidv1,test,GPT,1237,Accessibility & Understandability,new_task,0.10664528898373257,0.00017144707142855155
naidv1,test,GPT,1237,Accessibility & Understandability,new_dataset,0.2580860795969497,2.843872082139848e-20
naidv1,test,GPT,1237,Accessibility & Understandability,SOTA,-0.19924702057103177,1.530969715382573e-12
