Component,Target,rho,p,n
Quality & Reliability,score_mean,0.020502115479949064,0.29967100205606034,2561
Quality & Reliability,score_weighted,0.020189525840980844,0.30710144693418717,2561
Quality & Reliability,score_median,0.019138200781100623,0.33297954023423926,2561
Quality & Reliability,accept,0.015544473638267659,0.4316846495466595,2561
Quality & Reliability,cites,-0.022260374936876094,0.260120949796913,2561
Quality & Reliability,TNCSI,-0.009191441165559608,0.6419831735048036,2561
Quality & Reliability,TNCSI_SP,-0.002282084958793028,0.9081029545322364,2561
Accessibility & Understandability,score_mean,-0.03309785551016994,0.09401237532148933,2561
Accessibility & Understandability,score_weighted,-0.03163552531085248,0.10947071878027788,2561
Accessibility & Understandability,score_median,-0.05051617754345245,0.010563312529037723,2561
Accessibility & Understandability,accept,-0.026862011769468567,0.17415634356776258,2561
Accessibility & Understandability,cites,0.05467407523527307,0.005647534558390265,2561
Accessibility & Understandability,TNCSI,0.04149799303078022,0.03573410447268675,2561
Accessibility & Understandability,TNCSI_SP,0.031101614413299086,0.11559137740584012,2561
Novelty & Engagement,score_mean,0.08748252725277618,9.271134967610869e-06,2561
Novelty & Engagement,score_weighted,0.08581800209625001,1.3686081900836098e-05,2561
Novelty & Engagement,score_median,0.09203529353146758,3.083199997474914e-06,2561
Novelty & Engagement,accept,0.09481009378700797,1.5361235609114853e-06,2561
Novelty & Engagement,cites,0.06537781959646426,0.0009314347880591045,2561
Novelty & Engagement,TNCSI,0.062033412079575925,0.0016850121730684262,2561
Novelty & Engagement,TNCSI_SP,0.05512401511651884,0.005264563219246983,2561
