Component,Target,rho,p,n
Quality & Reliability,cites,0.15057111898632802,1.8751127101737016e-11,1969
Quality & Reliability,TNCSI,0.14330910421910456,1.6798689591223262e-10,1969
Quality & Reliability,TNCSI_SP,0.1513739433015799,1.4616937593651657e-11,1969
Quality & Reliability,Ref_num,0.017684625707062085,0.43286981852357753,1969
Quality & Reliability,RQM,0.0862831107382837,0.00012638647299464178,1969
Quality & Reliability,SMP,-0.06246956863168806,0.005555298552154272,1969
Quality & Reliability,ARQ,0.07625757689858768,0.0007076645022116209,1969
Quality & Reliability,OA,0.10551820238178837,2.7010546952890864e-06,1969
Quality & Reliability,is_practical,0.17156713930118042,1.787114959877331e-14,1969
Quality & Reliability,new_task,0.07982578904860203,0.00039179089176083454,1969
Quality & Reliability,new_dataset,0.11244513703095772,5.665688384067896e-07,1969
Quality & Reliability,SOTA,0.1932201622769919,5.148604707954091e-18,1969
Quality & Reliability,is_broad,-0.04478582455938518,0.046918515781076725,1969
Accessibility & Understandability,cites,0.10335980560860968,4.3103274557912205e-06,1969
Accessibility & Understandability,TNCSI,0.08979758300337663,6.602923184781906e-05,1969
Accessibility & Understandability,TNCSI_SP,0.1026488179054287,5.017697250496368e-06,1969
Accessibility & Understandability,Ref_num,-0.08552025932945562,0.00014505955249997557,1969
Accessibility & Understandability,RQM,0.1001699992245905,8.457356638573324e-06,1969
Accessibility & Understandability,SMP,-0.11406400167126135,3.8797432440203483e-07,1969
Accessibility & Understandability,ARQ,0.0561308908426371,0.01273476538193658,1969
Accessibility & Understandability,OA,0.03966535567883551,0.07846511702822287,1969
Accessibility & Understandability,is_practical,0.21599469256254786,3.2299032793644466e-22,1969
Accessibility & Understandability,new_task,0.09246328242418424,3.971847394974124e-05,1969
Accessibility & Understandability,new_dataset,0.22094789103849063,3.3789613510657797e-23,1969
Accessibility & Understandability,SOTA,0.0031716348705346947,0.8881486156321197,1969
Accessibility & Understandability,is_broad,0.06300397411939133,0.005162666420146872,1969
Novelty & Engagement,cites,0.22518810347753573,4.681327861730477e-24,1969
Novelty & Engagement,TNCSI,0.13439542517115932,2.137778364949012e-09,1969
Novelty & Engagement,TNCSI_SP,0.1566695591308957,2.7340215567395944e-12,1969
Novelty & Engagement,Ref_num,0.23223437340718392,1.6015510427616705e-25,1969
Novelty & Engagement,RQM,0.10479574999498038,3.161656920213602e-06,1969
Novelty & Engagement,SMP,-0.08578495389510155,0.00013830433079953057,1969
Novelty & Engagement,ARQ,0.07934615888649377,0.0004247930202077741,1969
Novelty & Engagement,OA,0.007720891037917108,0.7320575278113748,1969
Novelty & Engagement,is_practical,-0.18453710640618867,1.5275817232234172e-16,1969
Novelty & Engagement,new_task,0.012646036070518375,0.5749244146850699,1969
Novelty & Engagement,new_dataset,-0.1123136348062145,5.841335713954651e-07,1969
Novelty & Engagement,SOTA,0.15143868729724674,1.4325430633156497e-11,1969
Novelty & Engagement,is_broad,-0.022565787916543043,0.316917392856252,1969
