Dataset,Split,Model,n,Component,Target,rho,p
naidv1,train,GPT,2000,Quality & Reliability,cites,0.1960449543039447,8.917617417343604e-19
naidv1,train,GPT,2000,Quality & Reliability,TNCSI,0.16521356828562592,1.0448530092579086e-13
naidv1,train,GPT,2000,Quality & Reliability,TNCSI_SP,0.1946049524026771,1.6110710013779787e-18
naidv1,train,GPT,2000,Quality & Reliability,Ref_num,0.07129083829365843,0.0014213020992321938
naidv1,train,GPT,2000,Quality & Reliability,RQM,0.07471331776238192,0.0008261948654603643
naidv1,train,GPT,2000,Quality & Reliability,SMP,-0.068630229457613,0.00213386320248918
naidv1,train,GPT,2000,Quality & Reliability,ARQ,0.0648708636623285,0.0037036640791446008
naidv1,train,GPT,2000,Quality & Reliability,OA,0.16069280197738758,4.868040387220962e-13
naidv1,train,GPT,2000,Quality & Reliability,is_practical,0.20184455280208755,7.860424549047474e-20
naidv1,train,GPT,2000,Quality & Reliability,new_task,0.04429198841179245,0.047643834844704094
naidv1,train,GPT,2000,Quality & Reliability,new_dataset,0.09632643964030123,1.5946298703892268e-05
naidv1,train,GPT,2000,Quality & Reliability,SOTA,0.2717274334215835,3.4361707706687057e-35
naidv1,train,GPT,2000,Quality & Reliability,is_broad,-0.013265959687277071,0.5532300474671112
naidv1,train,GPT,2000,Accessibility & Understandability,cites,0.07077962690270331,0.001538323397745601
naidv1,train,GPT,2000,Accessibility & Understandability,TNCSI,0.09230310664455732,3.562432642166915e-05
naidv1,train,GPT,2000,Accessibility & Understandability,TNCSI_SP,0.08513370309572789,0.0001379381346757116
naidv1,train,GPT,2000,Accessibility & Understandability,Ref_num,-0.09901220406471889,9.160499272722251e-06
naidv1,train,GPT,2000,Accessibility & Understandability,RQM,0.06653913245963963,0.002909323062883941
naidv1,train,GPT,2000,Accessibility & Understandability,SMP,-0.08695640911377736,9.870441592003506e-05
naidv1,train,GPT,2000,Accessibility & Understandability,ARQ,0.034102075127825,0.12736360709948633
naidv1,train,GPT,2000,Accessibility & Understandability,OA,0.047383380047641914,0.034097688476299765
naidv1,train,GPT,2000,Accessibility & Understandability,is_practical,0.2546184722664705,5.781403000831563e-31
naidv1,train,GPT,2000,Accessibility & Understandability,new_task,0.08756753940754146,8.809981281628932e-05
naidv1,train,GPT,2000,Accessibility & Understandability,new_dataset,0.2381633444776227,3.4382831439180874e-27
naidv1,train,GPT,2000,Accessibility & Understandability,SOTA,-0.09957345660228757,8.143830190171355e-06
naidv1,train,GPT,2000,Accessibility & Understandability,is_broad,0.0759929429442373,0.0006706566393293286
naidv1,train,GPT,2000,Novelty & Engagement,cites,0.2976794454547781,3.301684487433616e-42
naidv1,train,GPT,2000,Novelty & Engagement,TNCSI,0.20082056043576113,1.2135367157620687e-19
naidv1,train,GPT,2000,Novelty & Engagement,TNCSI_SP,0.2208464208540482,1.618755565165427e-23
naidv1,train,GPT,2000,Novelty & Engagement,Ref_num,0.3316186137944298,1.5275969394111922e-52
naidv1,train,GPT,2000,Novelty & Engagement,RQM,0.10422635617384371,2.9980034077844348e-06
naidv1,train,GPT,2000,Novelty & Engagement,SMP,-0.07199062887117892,0.0012743838533334068
naidv1,train,GPT,2000,Novelty & Engagement,ARQ,0.09749344266584098,1.2554937694345694e-05
naidv1,train,GPT,2000,Novelty & Engagement,OA,0.0719837221048792,0.0012757627725100001
naidv1,train,GPT,2000,Novelty & Engagement,is_practical,-0.14104545110167657,2.365785146193132e-10
naidv1,train,GPT,2000,Novelty & Engagement,new_task,0.0762660865552166,0.0006411928992636534
naidv1,train,GPT,2000,Novelty & Engagement,new_dataset,-0.04543739374650606,0.042173804743975765
naidv1,train,GPT,2000,Novelty & Engagement,SOTA,0.21860965988169637,4.587926847226569e-23
naidv1,train,GPT,2000,Novelty & Engagement,is_broad,0.014065006917805071,0.5295820934036013
naidv1,train,Deepseek,1976,Quality & Reliability,cites,0.1675416710458197,6.5830215666943e-14
naidv1,train,Deepseek,1976,Quality & Reliability,TNCSI,0.1288754649794474,8.968516835075516e-09
