Readability,Target,rho,p
n_sentences,score_mean,0.07407860920502755,0.0001668045451076705
n_sentences,score_weighted,0.07520139617891168,0.00013246120459033695
n_sentences,score_median,0.07161740211909909,0.00027347288311547287
n_sentences,accept,0.07594522204808662,0.00011350387113756566
n_sentences,cites,0.0814691622472379,3.45199481933118e-05
n_sentences,TNCSI,0.06595967321925608,0.0008050215021418998
n_sentences,TNCSI_SP,0.06588006447880355,0.0008168852266221764
n_words,score_mean,0.03384795524026204,0.08575007207233155
n_words,score_weighted,0.03413192298672929,0.08315275399009159
n_words,score_median,0.033057384203222975,0.09332747673927501
n_words,accept,0.023599277238795284,0.2309888104846785
n_words,cites,0.043843009692089666,0.026009081366833352
n_words,TNCSI,0.04880279969524644,0.01320512810516398
n_words,TNCSI_SP,0.04075266628385907,0.03854306186621143
n_characters,score_mean,0.0193650631619522,0.32567772627527936
n_characters,score_weighted,0.019710222045109815,0.3171272180809344
n_characters,score_median,0.022264302886919773,0.25845948072467967
n_characters,accept,0.017929827793656913,0.362822048748495
n_characters,cites,0.011330173733101849,0.5652792580110149
n_characters,TNCSI,0.018335378909928778,0.35206702384887145
n_characters,TNCSI_SP,0.020865215331830996,0.28959425983659765
n_syllables,score_mean,0.01659500417721986,0.3996512524596967
n_syllables,score_weighted,0.01677836167927902,0.39446308504619076
n_syllables,score_median,0.018394777263558,0.3505089166168768
n_syllables,accept,0.016172479669992867,0.4117618689503033
n_syllables,cites,0.003830656387842447,0.8458594266530153
n_syllables,TNCSI,0.013863138519236871,0.48169464565256437
n_syllables,TNCSI_SP,0.01696565173300542,0.3892059045743248
n_polysyllables,score_mean,-0.012344323683017822,0.5309931350135199
n_polysyllables,score_weighted,-0.012557652116162832,0.5239175685852715
n_polysyllables,score_median,-0.007340997265820044,0.7094788409162083
n_polysyllables,accept,-0.0055883542923418714,0.7767109924789418
n_polysyllables,cites,-0.044516685266225965,0.023801713427611896
n_polysyllables,TNCSI,-0.022346638683109467,0.25670236549658315
n_polysyllables,TNCSI_SP,-0.005803624368431607,0.7683507684024882
ARI,score_mean,-0.07845256154702433,6.675459486965761e-05
ARI,score_weighted,-0.07993194596866313,4.844620287380836e-05
ARI,score_median,-0.07267377389128399,0.0002215951078870198
ARI,accept,-0.07460091248401758,0.0001499006371924644
ARI,cites,-0.12127634667095911,6.511897934618818e-10
ARI,TNCSI,-0.09526996730298135,1.2602777995804959e-06
ARI,TNCSI_SP,-0.07674992973457645,9.588871738296595e-05
SMOG,score_mean,-0.08346641644681184,2.2028128478707748e-05
SMOG,score_weighted,-0.08530848092477769,1.4426918531314784e-05
SMOG,score_median,-0.07681218064879226,9.463946663598842e-05
SMOG,accept,-0.08022718664184147,4.5414037879306235e-05
SMOG,cites,-0.12987182296828467,3.617235097806618e-11
SMOG,TNCSI,-0.09175043872832936,3.06936197311234e-06
SMOG,TNCSI_SP,-0.07267712173437964,0.00022144645852527887
Flesch_Kincaid_Grade,score_mean,-0.08260300215119955,2.6782514471269438e-05
Flesch_Kincaid_Grade,score_weighted,-0.08419889442457919,1.8635247384674327e-05
Flesch_Kincaid_Grade,score_median,-0.07768120479249635,7.872774503659818e-05
Flesch_Kincaid_Grade,accept,-0.0784837124038831,6.630925795876942e-05
Flesch_Kincaid_Grade,cites,-0.14285989886232564,3.1585465211098776e-13
Flesch_Kincaid_Grade,TNCSI,-0.1106064810911169,1.7969435254192046e-08
Flesch_Kincaid_Grade,TNCSI_SP,-0.0889681925276906,6.0666111220249205e-06
Flesch_Reading_Ease,score_mean,0.0808372268374879,3.9709129785555474e-05
Flesch_Reading_Ease,score_weighted,0.08181771704269036,3.1940166624600676e-05
Flesch_Reading_Ease,score_median,0.07410273561239793,0.00016598576516022216
Flesch_Reading_Ease,accept,0.06526232060889414,0.0009146052110719803
Flesch_Reading_Ease,cites,0.1676856154555932,1.0286309622554236e-17
Flesch_Reading_Ease,TNCSI,0.13700689364398558,2.82871957129105e-12
Flesch_Reading_Ease,TNCSI_SP,0.09770744376684974,6.678416881215425e-07
Coleman_Liau,score_mean,-0.06743052793385745,0.0006126363292553774
Coleman_Liau,score_weighted,-0.06807961462530104,0.0005421605445465399
Coleman_Liau,score_median,-0.05471061489062519,0.005459182442156903
Coleman_Liau,accept,-0.042976130028698475,0.029108038139794533
Coleman_Liau,cites,-0.1455532612157654,1.1166184714334733e-13
Coleman_Liau,TNCSI,-0.1313320670862366,2.1710099344396316e-11
Coleman_Liau,TNCSI_SP,-0.08291839462108232,2.494265978263464e-05
Gunning_Fog,score_mean,-0.08213031309340735,2.978320480252213e-05
Gunning_Fog,score_weighted,-0.08374126902722157,2.069132812410758e-05
Gunning_Fog,score_median,-0.0760048372095809,0.0001121007878133249
Gunning_Fog,accept,-0.07714328711263224,8.824890223483921e-05
Gunning_Fog,cites,-0.1345779349776979,6.839007697039946e-12
Gunning_Fog,TNCSI,-0.09647459407485309,9.225560597435436e-07
Gunning_Fog,TNCSI_SP,-0.07483206587045606,0.0001429461239641953
