Readability,Component,rho,p
n_sentences,Quality & Reliability,0.07573989076861767,1.605255570326679e-05
n_sentences,Accessibility & Understandability,-0.12562573972351299,7.331615977167284e-13
n_sentences,Novelty & Engagement,0.20124194029030223,6.2966995371416575e-31
n_words,Quality & Reliability,-0.06228021191592339,0.00039189322419465203
n_words,Accessibility & Understandability,-0.23706346690998167,1.376942084581056e-42
n_words,Novelty & Engagement,0.3470052804566353,2.9983943407564695e-92
n_characters,Quality & Reliability,-0.07923904820051007,6.372611280750582e-06
n_characters,Accessibility & Understandability,-0.260347533938583,2.6607012769265152e-51
n_characters,Novelty & Engagement,0.38137675164196627,1.41794581691107e-112
n_syllables,Quality & Reliability,-0.0825571027074044,2.560241607830914e-06
n_syllables,Accessibility & Understandability,-0.2629053923831979,2.5793477330169804e-52
n_syllables,Novelty & Engagement,0.37426485112970365,3.661183967967868e-108
n_polysyllables,Quality & Reliability,-0.07421394144834205,2.3727642110243237e-05
n_polysyllables,Accessibility & Understandability,-0.25456439012813264,4.731592807135197e-49
n_polysyllables,Novelty & Engagement,0.33867628558794743,1.080663477793112e-87
ARI,Quality & Reliability,-0.1508174632856351,6.310460472316483e-18
ARI,Accessibility & Understandability,-0.11833835822294324,1.4386213389651431e-11
ARI,Novelty & Engagement,0.14523984072755688,1.0045684850995586e-16
SMOG,Quality & Reliability,-0.14037373354387145,1.0303990474253693e-15
SMOG,Accessibility & Understandability,-0.12649493059815656,5.080258004465575e-13
SMOG,Novelty & Engagement,0.11676124340190447,2.6770032012009322e-11
Flesch_Kincaid_Grade,Quality & Reliability,-0.1590423342381559,8.774238113246145e-20
Flesch_Kincaid_Grade,Accessibility & Understandability,-0.12788813631047233,2.8069837200303495e-13
Flesch_Kincaid_Grade,Novelty & Engagement,0.13114075960606222,6.851014639943543e-14
Flesch_Reading_Ease,Quality & Reliability,0.1345383914145461,1.5118414512936474e-14
Flesch_Reading_Ease,Accessibility & Understandability,0.1356557709958741,9.120134949181335e-15
Flesch_Reading_Ease,Novelty & Engagement,-0.13877627545954022,2.174236527019093e-15
Coleman_Liau,Quality & Reliability,-0.08932961624290768,3.5694581948002157e-07
Coleman_Liau,Accessibility & Understandability,-0.118644594680138,1.2739797981848219e-11
Coleman_Liau,Novelty & Engagement,0.15810295307842262,1.446775408251536e-19
Gunning_Fog,Quality & Reliability,-0.13599731747092514,7.808025815903284e-15
Gunning_Fog,Accessibility & Understandability,-0.12569177240111615,7.130746655615212e-13
Gunning_Fog,Novelty & Engagement,0.11106865193606058,2.3522114666378625e-10
