Component,Target,rho,p,n
Quality & Reliability,cites,0.13882498038361096,3.283185722393539e-15,3193
Quality & Reliability,TNCSI,0.1308268856161808,1.1570507799061395e-13,3193
Quality & Reliability,TNCSI_SP,0.14923440924828482,2.31191053424696e-17,3193
Quality & Reliability,Ref_num,0.03218262345523039,0.0690197089221969,3193
Quality & Reliability,RQM,0.10232080027615305,6.84211918651452e-09,3193
Quality & Reliability,SMP,-0.14207378386629751,7.268988501393475e-16,3193
Quality & Reliability,ARQ,0.04228865834274766,0.016861075214007464,3193
Quality & Reliability,OA,0.11296384590564285,1.541545240366684e-10,3193
Quality & Reliability,is_practical,0.25078359407734385,5.479176648625461e-47,3193
Quality & Reliability,new_task,0.12588431271518116,9.406097169543181e-13,3193
Quality & Reliability,new_dataset,0.26660723260082975,4.286920726243242e-53,3193
Quality & Reliability,SOTA,0.0623466873589124,0.00042340010819026143,3193
Quality & Reliability,is_broad,0.07601952838720549,1.706831582220328e-05,3193
Accessibility & Understandability,cites,0.25611140818634387,5.36881533097849e-49,3193
Accessibility & Understandability,TNCSI,0.1704976549573126,2.968337478547078e-22,3193
Accessibility & Understandability,TNCSI_SP,0.22097419147327418,1.3006368670204089e-36,3193
Accessibility & Understandability,Ref_num,0.30173279869403563,3.350517076370114e-68,3193
Accessibility & Understandability,RQM,0.11100947558490588,3.1794902080414844e-10,3193
Accessibility & Understandability,SMP,-0.10718041991810066,1.2669744843051487e-09,3193
Accessibility & Understandability,ARQ,0.0814206163903555,4.0920102398145225e-06,3193
Accessibility & Understandability,OA,0.10716096279908029,1.2757520209573505e-09,3193
Accessibility & Understandability,is_practical,-0.1073554501194392,1.1906150439762121e-09,3193
Accessibility & Understandability,new_task,0.005519831037939908,0.7552021500086912,3193
Accessibility & Understandability,new_dataset,-0.09798319745649633,2.8914300429199207e-08,3193
Accessibility & Understandability,SOTA,0.2671468057741807,2.608627598646319e-53,3193
Accessibility & Understandability,is_broad,0.004322267655707297,0.807120599402178,3193
Novelty & Engagement,cites,-0.014739321009557436,0.4050768071689811,3193
Novelty & Engagement,TNCSI,0.012381173858296818,0.48431998061140136,3193
Novelty & Engagement,TNCSI_SP,0.008182289814753654,0.643951972467756,3193
Novelty & Engagement,Ref_num,-0.0738446063781198,2.956650305249372e-05,3193
Novelty & Engagement,RQM,0.02392557901286684,0.17649751449313297,3193
Novelty & Engagement,SMP,0.030770763721017613,0.08212570814543292,3193
Novelty & Engagement,ARQ,0.05094580684194565,0.00398282415196725,3193
Novelty & Engagement,OA,0.0582359484698503,0.000993986650047249,3193
Novelty & Engagement,is_practical,0.19424052028719296,1.6178004745831296e-28,3193
Novelty & Engagement,new_task,-0.05701916064994682,0.0012671307041466826,3193
Novelty & Engagement,new_dataset,-0.08079873914762283,4.845858459455525e-06,3193
Novelty & Engagement,SOTA,0.22328402199063999,2.300092700219417e-37,3193
Novelty & Engagement,is_broad,-0.061919703801597226,0.0004637529786843437,3193
